STATE_CODE_001,STRUCTURE_NUMBER_008,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,ADT_029,APPR_WIDTH_MT_032,DEGREES_SKEW_034,STRUCTURE_TYPE_043B,MAIN_UNIT_SPANS_045,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,DECK_WIDTH_MT_052,PERCENT_ADT_TRUCK_109,FORM_FAMILY
48,120850038906033,14,1947,5.0,12996,23.8,30,1,2,7.6,15.2,24.6,8.0,girder_beam
34,1419185,16,1973,4.0,24300,14.0,48,2,2,34.7,71.3,18.3,4.0,girder_beam
42,000000000002224,19,1936,1.0,100,4.9,11,5,1,22.9,23.5,4.9,5.0,girder_beam
31,C003122405,9,1984,2.0,20,8.5,0,2,1,6.4,6.7,8.5,0.0,girder_beam
42,000000000038857,17,1909,2.0,3200,11.0,40,3,3,22.3,41.8,17.4,5.0,girder_beam
40,309780000000000,6,2023,2.0,4850,11.6,45,2,3,13.7,42.8,12.2,,girder_beam
9,00080,11,1958,8.0,115800,46.6,27,2,1,24.7,26.2,46.6,9.0,girder_beam
5,000000000016115,8,1955,1.0,48,4.3,0,2,2,8.8,18.6,4.9,1.0,girder_beam
1,018817,8,2002,2.0,771,6.7,0,22,4,10.4,41.5,9.8,15.0,girder_beam
21,073B00172N,9,2012,2.0,1016,10.4,30,6,1,21.6,22.9,11.3,0.0,girder_beam
51,000000000020478,14,1955,2.0,8292,11.0,44,2,3,17.1,43.3,11.7,0.0,girder_beam
45,000000000007305,16,1979,2.0,12800,9.4,0,2,2,9.1,36.6,10.5,3.0,girder_beam
20,999902500340071,6,1952,2.0,1354,7.9,0,2,7,34.4,228.2,9.1,36.0,girder_beam
72,024032,12,1995,2.0,9800,16.1,29,2,3,31.3,64.3,13.4,7.0,girder_beam
39,5005310,12,1969,6.0,17394,33.5,0,2,3,20.7,55.8,32.3,6.0,girder_beam
18,1800095,9,1984,2.0,190,6.4,40,5,3,9.2,25.9,7.4,1.0,girder_beam
37,000000000130182,9,2014,2.0,290,9.1,0,1,1,20.4,21.3,10.0,6.0,girder_beam
39,7135998,9,1996,2.0,209,7.3,0,10,1,44.2,44.8,7.3,7.0,truss
17,102001800000000,16,1929,2.0,4350,11.9,0,5,1,12.6,13.6,11.9,10.0,girder_beam
50,101403003014031,9,1977,1.0,10,4.3,45,1,1,7.6,8.5,4.7,2.0,girder_beam
54,00000000041A164,1,1988,4.0,10000,23.8,0,9,1,239.0,667.4,23.6,12.0,truss
47,18I00400027,16,2009,5.0,13412,24.4,10,5,2,37.8,75.6,29.3,7.0,girder_beam
18,3000735,7,2016,2.0,3170,6.7,10,1,1,12.1,12.6,9.2,3.0,girder_beam
24,100000100014010,6,2007,2.0,3212,98.8,30,1,2,16.8,34.7,11.0,11.0,girder_beam
31,C004103210,7,1987,2.0,65,8.5,0,2,1,8.8,9.1,8.7,0.0,girder_beam
36,000000001006060,7,1932,2.0,1751,7.3,0,10,1,36.6,38.4,8.0,12.0,truss
48,180430U00717001,8,2000,2.0,1058,6.1,0,2,3,12.2,36.6,12.2,7.0,girder_beam
