iter	Passed	Remaining
0	152	54350
1	158	28261
2	163	19391
3	169	14992
4	181	12844
5	186	10928
6	190	9532
7	194	8522
8	199	7738
9	203	7086
10	207	6558
11	212	6131
12	217	5769
13	221	5444
14	226	5173
15	230	4931
16	235	4723
17	240	4534
18	245	4376
19	249	4217
20	253	4066
21	257	3937
22	262	3819
23	266	3706
24	269	3593
25	274	3501
26	279	3424
27	284	3350
28	289	3279
29	317	3472
30	330	3485
31	339	3454
32	352	3467
33	357	3406
34	367	3395
35	373	3340
36	381	3309
37	386	3253
38	394	3229
39	409	3257
40	416	3221
41	421	3169
42	428	3142
43	435	3110
44	442	3075
45	448	3040
46	454	3005
47	460	2975
48	467	2946
49	473	2918
50	481	2901
51	486	2865
52	491	2830
53	499	2811
54	505	2786
55	510	2751
56	514	2716
57	519	2684
58	523	2653
59	528	2623
60	532	2591
61	536	2562
62	540	2531
63	544	2499
64	550	2481
65	555	2458
66	560	2432
67	564	2408
68	570	2390
69	575	2369
70	580	2347
71	586	2329
72	591	2307
73	594	2283
74	599	2263
75	603	2239
76	607	2218
77	611	2196
78	615	2175
79	620	2154
80	624	2135
81	628	2114
82	632	2096
83	636	2077
84	641	2059
85	645	2040
86	650	2025
87	654	2007
88	658	1989
89	662	1973
90	668	1960
91	673	1946
92	677	1931
93	683	1919
94	687	1904
95	692	1890
96	698	1878
97	702	1864
98	707	1851
99	712	1838
100	718	1828
101	723	1816
102	730	1809
103	736	1798
104	741	1787
105	747	1778
106	753	1767
107	758	1754
108	763	1743
109	768	1732
110	773	1720
111	778	1709
112	782	1697
113	788	1687
114	792	1675
115	798	1665
116	804	1656
117	809	1645
118	814	1635
119	819	1625
120	822	1611
121	828	1602
122	832	1591
123	836	1578
124	839	1565
125	844	1555
126	848	1544
127	852	1532
128	856	1520
129	860	1510
130	865	1500
131	870	1490
132	874	1479
133	878	1469
134	882	1457
135	886	1447
136	890	1436
137	897	1430
138	902	1422
139	909	1415
140	914	1407
141	918	1397
142	924	1389
143	929	1382
144	935	1373
145	940	1365
146	946	1358
147	951	1349
148	956	1340
149	961	1332
150	965	1322
151	968	1312
152	973	1304
153	977	1294
154	981	1285
155	985	1276
156	991	1268
157	995	1259
158	1001	1253
159	1006	1245
160	1011	1237
161	1015	1228
162	1019	1219
163	1024	1211
164	1027	1202
165	1031	1193
166	1035	1184
167	1040	1176
168	1043	1167
169	1048	1159
170	1052	1150
171	1057	1143
172	1061	1135
173	1065	1126
174	1069	1118
175	1074	1110
176	1078	1102
177	1082	1094
178	1085	1085
179	1090	1077
180	1093	1069
181	1097	1061
182	1101	1053
183	1106	1046
184	1110	1038
185	1114	1030
186	1117	1022
187	1123	1016
188	1127	1008
189	1132	1001
190	1137	994
191	1141	986
192	1145	979
193	1149	971
194	1153	964
195	1157	956
196	1161	949
197	1166	942
198	1172	936
199	1176	929
200	1182	923
201	1188	917
202	1191	910
203	1196	902
204	1200	896
205	1204	889
206	1208	881
207	1212	874
208	1218	868
209	1221	861
210	1226	854
211	1231	848
212	1235	841
213	1240	835
214	1245	828
215	1250	822
216	1254	815
217	1258	808
218	1262	801
219	1266	794
220	1271	787
221	1274	781
222	1278	774
223	1283	767
224	1287	761
225	1290	753
226	1294	747
227	1299	740
228	1303	734
229	1306	726
230	1310	720
231	1315	714
232	1319	707
233	1322	700
234	1328	695
235	1332	688
236	1336	682
237	1340	675
238	1344	669
239	1348	663
240	1352	656
241	1355	649
242	1360	643
243	1364	637
244	1368	631
245	1373	625
246	1377	618
247	1381	612
248	1384	606
249	1392	601
250	1396	595
251	1401	589
252	1406	583
253	1413	578
254	1417	572
255	1421	566
256	1426	560
257	1431	554
258	1435	548
259	1440	543
260	1444	536
261	1448	530
262	1452	524
263	1457	518
264	1460	512
265	1464	506
266	1468	500
267	1473	494
268	1477	488
269	1481	482
270	1485	476
271	1490	471
272	1494	465
273	1498	459
274	1505	454
275	1509	448
276	1513	442
277	1516	436
278	1521	430
279	1526	425
280	1530	419
281	1534	413
282	1541	408
283	1546	402
284	1550	397
285	1555	391
286	1559	385
287	1563	379
288	1567	374
289	1572	368
290	1577	363
291	1582	357
292	1586	351
293	1590	346
294	1594	340
295	1598	334
296	1603	329
297	1606	323
298	1610	317
299	1614	312
300	1619	306
301	1623	301
302	1628	295
303	1632	289
304	1636	284
305	1640	278
306	1645	273
307	1649	267
308	1654	262
309	1658	256
310	1662	251
311	1667	245
312	1672	240
313	1676	234
314	1679	229
315	1684	223
316	1688	218
317	1691	212
318	1695	207
319	1700	201
320	1703	196
321	1707	190
322	1711	185
323	1715	180
