feature,importance_mean,importance_std
BRIDGE_CONDITION,0.06065381694967997,0.0005914536108880531
LOWEST_RATING,0.00829958004546858,0.00018542310314533468
SUPERSTRUCTURE_COND_059,0.007468255231339427,0.0001520730609089975
STRUCTURAL_EVAL_067,0.003242925441489186,5.4345877326526534e-05
SUBSTRUCTURE_COND_060,0.0013442133953670554,3.345914326071859e-05
STRUCTURE_TYPE_043B,0.0011020983220273672,3.384375038610449e-05
age,0.0006937938425996438,8.262228452611821e-05
STRUCTURE_KIND_043A,0.0005501401190111998,2.5903879370280934e-05
DECK_STRUCTURE_TYPE_107,0.0005492605913594683,3.487168255635225e-05
STATE_CODE_001,0.0004353396246960628,2.4758408194052404e-05
INVENTORY_RATING_066,0.00019081101532538724,3.0133028790564582e-05
MAX_SPAN_LEN_MT_048,0.00013684107358133968,9.983299102440771e-06
OPERATING_RATING_064,0.00011139232466479409,1.4956501085354662e-05
SCOUR_CRITICAL_113,9.797657654062598e-05,9.924295339130503e-06
WORK_PROPOSED_075A,9.616956041724745e-05,2.2177801419415817e-05
