feature,importance_mean,importance_std
BRIDGE_CONDITION,0.04091652821417922,0.0005724926237993949
STRUCTURAL_EVAL_067,0.007562652328978436,0.00011247437623323358
LOWEST_RATING,0.005517833382011106,0.00010842512582342754
SUPERSTRUCTURE_COND_059,0.003451433411549476,5.8507870718238254e-05
DECK_COND_058,0.00043767991311214336,1.1147895781929754e-05
age,0.0001391400554117572,1.7001059646450165e-05
SCOUR_CRITICAL_113,0.00010235079992282348,9.047787016045824e-06
MAX_SPAN_LEN_MT_048,9.697535416448577e-05,1.728336969525698e-05
STRUCTURE_TYPE_043B,9.19504248443781e-05,6.168299480966506e-06
STATE_CODE_001,6.949104535669548e-05,1.4884249062774514e-05
STRUCTURE_KIND_043A,5.782024177445333e-05,2.1566443095651167e-05
CHANNEL_COND_061,5.641714357313976e-05,1.0982499320784544e-05
MAIN_UNIT_SPANS_045,5.427119831069582e-05,5.5597423158131895e-06
DECK_AREA,4.888646051144363e-05,1.090512968404703e-05
STRUCTURE_LEN_MT_049,4.400555782784199e-05,3.9357827594582155e-06
