feature,importance_mean,importance_std
BRIDGE_CONDITION,0.011394353932912483,0.0001493890841857721
STRUCTURAL_EVAL_067,0.010436276610574335,0.00019928414618170212
LOWEST_RATING,0.00530939989684498,3.700471691924238e-05
SUBSTRUCTURE_COND_060,0.0035854111717215755,2.1038061278860035e-05
DECK_COND_058,0.0022638380441736493,4.426081414417289e-05
STRUCTURE_TYPE_043B,0.0005981931753063163,3.42135989793314e-05
STATE_CODE_001,0.00023867445843117618,9.834215808482124e-06
age,0.000220461585254772,3.850442051106387e-05
INSPECT_FREQ_MONTHS_091,0.00015014796649053251,6.6873332298677375e-06
STRUCTURE_KIND_043A,0.0001481697870358456,2.0915039571705662e-05
ADT_029,0.000129718821601843,9.570821710537458e-06
OWNER_022,8.634694092473083e-05,2.5075508763054414e-05
MAINTENANCE_021,4.748933683529355e-05,1.904686592866573e-05
DESIGN_LOAD_031,3.960208659665731e-05,1.5738567306367143e-05
STRUCTURE_LEN_MT_049,3.265239865637426e-05,2.9335208928987095e-06
